col_0,col_1,col_2,col_3,col_4
14.0,1.0,1.0,100.0,1.0
6.0,2.0,1.0,50.0,1.0
17.0,3.0,1.0,33.33333333333333,1.0
14.0,4.0,2.0,50.0,1.0
19.0,5.0,1.0,20.0,1.0
10.0,6.0,1.0,16.666666666666664,1.0
20.0,7.0,1.0,14.285714285714285,1.0
14.0,8.0,3.0,37.5,1.0
4.0,9.0,1.0,11.11111111111111,1.0
19.0,10.0,2.0,20.0,1.0
2.0,11.0,1.0,9.090909090909092,1.0
18.0,12.0,1.0,8.333333333333332,1.0
16.0,13.0,1.0,7.6923076923076925,1.0
6.0,14.0,2.0,14.285714285714285,1.0
18.0,15.0,2.0,13.333333333333334,1.0
17.0,16.0,2.0,12.5,1.0
3.0,17.0,1.0,5.88235294117647,1.0
11.0,18.0,1.0,5.555555555555555,1.0
15.0,19.0,1.0,5.263157894736842,1.0
8.0,20.0,1.0,5.0,1.0
11.0,21.0,2.0,9.523809523809524,1.0
19.0,22.0,3.0,13.636363636363637,1.0
6.0,23.0,3.0,13.043478260869565,1.0
12.0,24.0,1.0,4.166666666666666,0.0
13.0,25.0,1.0,4.0,0.0
20.0,26.0,2.0,7.6923076923076925,1.0
16.0,27.0,2.0,7.4074074074074066,1.0
3.0,28.0,2.0,7.142857142857142,1.0
20.0,29.0,3.0,10.344827586206897,1.0
19.0,30.0,4.0,13.333333333333334,1.0
14.0,31.0,4.0,12.903225806451612,1.0
8.0,32.0,2.0,6.25,1.0
16.0,33.0,3.0,9.090909090909092,1.0
11.0,34.0,3.0,8.823529411764707,1.0
16.0,35.0,4.0,11.428571428571429,1.0
17.0,36.0,3.0,8.333333333333332,1.0
9.0,37.0,1.0,2.702702702702702,0.0
10.0,38.0,2.0,5.263157894736842,1.0
18.0,39.0,3.0,7.6923076923076925,1.0
9.0,40.0,2.0,5.0,1.0
14.0,41.0,5.0,12.195121951219512,1.0
19.0,42.0,5.0,11.904761904761903,1.0
16.0,43.0,5.0,11.627906976744184,1.0
19.0,44.0,6.0,13.636363636363637,1.0
